essay,CASING,CLICHES,COMPOUNDING,CONFUSED_WORDS,CONTRACTIONS,FORMAL_SPEECH,GRAMMAR,MISC,MISSPELLING,PUNCTUATION,REDACTION_TIPS,REDUNDANCY,REPETITIONS,STYLE,SYNTAX,TYPOS,comp1,palavras_por_texto,paragrafos_por_texto,palavras_no_paragrafo_1,palavras_no_ultimo_paragrafo,palavras_nos_intermediarios,palavras_unicas,quantidade_de_sentencas_longas,quantidade_de_paragrafos_com_sentenca_unica,error
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1.0,199,4,30,54,115,99,0,0,1
1,1,0,0,1,0,1,1,0,0,0,2,0,0,3,0,1,1.0,350,4,74,104,172,147,1,0,4
2,0,0,0,0,1,1,2,0,0,1,2,1,1,1,0,0,0.5,372,3,70,86,216,133,2,1,3
3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.0,165,3,61,31,73,101,2,3,1
4,0,0,0,3,0,1,1,0,0,1,2,0,0,1,0,0,1.0,184,4,41,31,112,99,0,2,4
5,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,1.5,264,4,55,60,149,120,0,2,1
6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5,227,4,52,48,127,132,0,0,3
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,276,4,37,74,165,114,0,0,2
8,0,0,0,1,0,1,0,0,1,2,1,0,0,4,0,0,0.0,244,4,42,76,126,98,0,0,3
9,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1.0,233,4,48,36,149,84,1,2,3
10,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0.0,149,3,45,23,81,48,0,1,1
11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.5,222,4,59,36,127,106,0,0,1
12,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1.0,222,5,46,48,128,117,0,0,2
13,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0.0,127,4,17,41,69,61,0,2,0
14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,197,4,42,40,115,88,0,2,2
15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1.5,290,4,68,49,173,118,0,0,2
16,0,0,0,0,0,0,3,0,0,3,1,0,0,2,0,0,1.5,394,5,60,74,260,146,0,0,1
17,0,0,1,0,0,1,0,1,0,0,2,1,0,2,0,0,0.5,315,4,80,56,179,143,2,2,1
18,0,0,0,0,0,1,0,1,0,1,0,1,2,0,0,1,0.0,190,3,37,62,91,105,2,1,4
19,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,4,0.5,265,6,24,45,196,145,0,1,2
20,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0.5,113,4,33,19,61,70,0,2,1
21,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0.5,211,5,32,15,164,88,0,3,3
22,0,0,0,0,0,1,1,0,0,1,2,2,1,0,0,1,1.0,221,5,50,41,130,111,0,2,3
23,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.5,256,4,68,45,143,126,0,0,4
24,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,0.5,151,4,39,30,82,93,0,0,0
25,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,201,3,20,44,137,104,0,0,1
26,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,1,1.0,267,4,58,41,168,123,0,1,6
27,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,1.0,155,4,26,49,80,77,0,3,1
28,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0.0,134,3,29,63,42,53,0,1,1
29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.0,207,4,42,61,104,97,0,0,2
30,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,1,0.5,186,4,36,38,112,77,1,2,1
31,0,0,0,3,0,0,1,0,0,1,1,0,0,1,0,0,1.0,157,4,35,40,82,84,0,4,3
32,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,2.0,275,4,52,55,168,90,0,1,1
33,3,0,0,2,0,0,6,0,0,2,1,0,1,0,0,2,0.5,295,4,95,77,123,113,0,0,3
34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,127,4,22,34,71,64,0,4,0
35,1,0,0,1,0,1,3,0,1,0,3,0,0,0,0,0,0.0,277,5,25,44,208,129,0,2,3
36,0,0,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0.5,221,4,56,30,135,117,0,1,1
37,0,0,0,3,0,0,2,1,0,0,2,1,0,1,0,0,1.0,215,4,28,56,131,105,0,0,1
38,0,0,0,0,0,0,2,0,0,0,1,1,0,3,1,0,0.0,333,4,39,125,169,193,2,2,3
39,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,1,1.0,193,5,0,22,171,73,1,2,1
40,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,1.0,369,4,99,82,188,180,1,0,5
41,0,0,0,2,0,1,3,0,0,0,1,0,0,2,0,4,1.0,173,4,42,57,74,96,0,1,2
42,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,2.0,250,4,46,64,140,113,1,2,0
43,0,0,0,1,0,0,2,0,0,4,0,0,0,1,0,0,1.0,202,4,51,54,97,117,0,0,3
44,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.0,243,4,51,48,144,119,0,0,1
45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1.0,112,4,23,32,57,63,0,3,1
47,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,1,1.0,223,5,38,17,168,120,0,2,2
48,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1.0,345,3,64,63,218,158,0,0,3
49,0,0,0,0,0,3,3,0,0,2,1,0,2,1,0,0,0.5,291,4,61,53,177,110,1,2,2
50,0,0,0,0,0,2,0,0,0,0,0,1,3,2,1,0,1.5,336,6,42,0,294,145,0,0,4
51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,155,4,25,41,89,87,0,1,2
52,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.5,191,4,42,51,98,102,0,0,3
53,0,0,0,0,0,0,3,0,0,0,2,0,0,1,1,0,0.0,225,4,44,29,152,125,1,2,2
